Name;Instance count;Size (bytes)
java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock;2;32
sun.misc.NativeSignalHandler;2;48
java.lang.management.MemoryType;2;48
java.lang.Shutdown$Lock;2;32
java.lang.StringCoding$StringDecoder;2;64
com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry;2;48
java.awt.LightweightDispatcher;2;96
scala.collection.immutable.MapLike$$anonfun$$plus$plus$1;2;32
sun.management.ManagementFactoryHelper$1;2;48
sun.reflect.generics.tree.ClassTypeSignature[ ];2;40
java.util.ResourceBundle$LoaderReference;2;64
java.util.jar.Attributes;2;32
sun.java2d.d3d.D3DGraphicsConfig;2;80
java.net.SocketPermissionCollection;2;48
java.lang.annotation.RetentionPolicy[ ];2;64
sun.java2d.pipe.SpanShapeRenderer$Composite;2;32
scala.concurrent.forkjoin.ForkJoinWorkerThread[ ];2;56
java.lang.InheritableThreadLocal;2;32
java.io.InvalidClassException;2;80
java.lang.VirtualMachineError;2;64
java.lang.Boolean;2;32
sun.security.provider.SecureRandom;2;64
sun.java2d.loops.MaskBlit$General;2;144
sun.java2d.d3d.D3DVolatileSurfaceManager;2;112
java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter;2;32
scala.concurrent.forkjoin.ForkJoinPool$AdaptedRunnable;2;64
sun.java2d.pipe.Region$ImmutableRegion;2;80
java.awt.Dimension;2;48
java.util.ResourceBundle$CacheKey;2;112
sun.misc.Signal;2;48
sun.security.jca.ProviderList$3;2;48
sun.java2d.d3d.D3DContext$D3DContextCaps;2;48
java.net.InetAddress$Cache$Type;2;48
java.awt.BorderLayout;2;112
com.siigna.util.event.EventParser$$anonfun$paint$1;2;48
scala.collection.mutable.ArrayOps$ofRef;2;32
javax.management.MBeanConstructorInfo;2;64
sun.reflect.generics.repository.ClassRepository;2;64
scala.concurrent.forkjoin.LinkedTransferQueue;2;48
scala.actors.remote.Node;2;48
sun.java2d.d3d.D3DGraphicsDevice;2;192
java.util.concurrent.locks.ReentrantReadWriteLock;2;48
scala.util.control.BreakControl;2;64
sun.awt.image.BufImgSurfaceManager;2;48
java.awt.Cursor;2;80
scala.collection.immutable.StringOps;2;32
scala.collection.mutable.HashMap$$anon$1$$anonfun$foreach$2;2;32
scala.collection.mutable.HashMap$$anon$1;2;48
