"Name";"Instance count";"Size (bytes)"
"scala.concurrent.forkjoin.LinkedTransferQueue";2;48
"scala.actors.remote.Node";2;48
"sun.java2d.d3d.D3DGraphicsDevice";2;192
"java.util.concurrent.locks.ReentrantReadWriteLock";2;48
"scala.util.control.BreakControl";2;64
"sun.awt.image.BufImgSurfaceManager";2;48
"com.jprofiler.agent.util.a.a.p";2;80
"scala.math.BigDecimal";2;48
"java.util.LinkedHashSet";2;32
"java.net.InetAddress[ ]";2;48
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping";2;64
"java.math.BigDecimal[ ]";2;144
"sun.util.locale.UnicodeLocaleExtension";2;64
"sun.java2d.loops.GraphicsPrimitive[ ]";2;3280
"java.util.Random";2;64
"java.util.jar.Manifest";2;48
"sun.awt.image.SunVolatileImage";2;112
"sun.awt.util.IdentityArrayList";2;48
"java.net.InetSocketAddress[ ]";2;48
"scala.actors.Reactor$$anonfun$seq$1";2;48
"sun.util.locale.LocaleExtensions";2;48
"java.io.FileOutputStream";2;64
"java.lang.ref.ReferenceQueue$Null";2;64
"scala.actors.Combinators$$anonfun$loop$1";2;48
"java.awt.Cursor[ ]";2;144
"sun.security.jca.ProviderConfig[ ]";2;72
"java.io.PrintStream";2;64
"sun.util.calendar.ZoneInfo";2;112
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl";2;64
"java.util.ResourceBundle$BundleReference";2;96
"scala.math.BigInt";2;32
"java.io.ExpiringCache";2;80
"java.nio.ByteOrder";2;32
"sun.awt.im.InputMethodLocator";2;48
"sun.management.GarbageCollectorImpl";2;96
"com.jprofiler.agent.probe.a.a.p";2;352
"$Proxy1";2;32
"sun.awt.MostRecentKeyValue";2;48
"com.sun.jmx.mbeanserver.WeakIdentityHashMap";2;48
"sun.java2d.d3d.D3DContext";2;128
"java.lang.reflect.TypeVariable[ ]";2;48
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap";2;96
"java.lang.management.ManagementPermission";2;48
"javax.management.openmbean.TabularType";2;96
"sun.java2d.d3d.D3DSurfaceData$D3DWindowSurfaceData";2;224
"com.siigna.app.Siigna$";1;64
